item_id,city,quality,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date,buy_price_min,buy_price_min_date,buy_price_max,buy_price_max_date
T2_METALBAR,Bridgewatch,1,11,2023-01-08T22:30:00,26,2023-01-08T22:30:00,1,2023-01-08T22:00:00,10,2023-01-08T22:00:00
T2_METALBAR,Fort Sterling,1,13,2023-01-08T23:10:00,20,2023-01-08T23:10:00,3,2023-01-08T23:10:00,9,2023-01-08T23:10:00
T2_METALBAR,Lymhurst,1,11,2023-01-08T20:35:00,11,2023-01-08T20:35:00,1,2023-01-08T01:50:00,8,2023-01-08T01:50:00
T2_METALBAR,Martlock,1,11,2023-01-08T07:40:00,11,2023-01-08T07:40:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T2_METALBAR,Thetford,1,15,2023-01-08T16:40:00,18,2023-01-08T16:40:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T2_ORE,Bridgewatch,1,21,2023-01-08T22:30:00,25,2023-01-08T22:30:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T2_ORE,Fort Sterling,1,34,2023-01-08T13:20:00,53,2023-01-08T13:20:00,10,2023-01-08T13:20:00,30,2023-01-08T13:20:00
T2_ORE,Lymhurst,1,22,2023-01-08T19:25:00,1000,2023-01-08T19:25:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T2_ORE,Martlock,1,27,2023-01-08T16:45:00,28,2023-01-08T16:45:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T2_ORE,Thetford,1,35,2023-01-08T19:10:00,40,2023-01-08T19:10:00,1,2023-01-08T13:00:00,23,2023-01-08T13:00:00
T3_METALBAR,Bridgewatch,1,100,2023-01-08T23:05:00,118,2023-01-08T23:05:00,1,2023-01-08T09:55:00,70,2023-01-08T09:55:00
T3_METALBAR,Fort Sterling,1,84,2023-01-08T23:10:00,84,2023-01-08T23:10:00,1,2023-01-08T23:10:00,70,2023-01-08T23:10:00
T3_METALBAR,Lymhurst,1,89,2023-01-08T23:00:00,100,2023-01-08T23:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T3_METALBAR,Martlock,1,83,2023-01-08T21:35:00,88,2023-01-08T21:35:00,1,2023-01-08T14:20:00,1,2023-01-08T14:20:00
T3_METALBAR,Thetford,1,76,2023-01-08T22:35:00,80,2023-01-08T22:35:00,1,2023-01-08T22:35:00,75,2023-01-08T22:35:00
T3_ORE,Bridgewatch,1,37,2023-01-08T23:05:00,39,2023-01-08T23:05:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
